,biden,biden,biden,biden,biden,biden,biden,biden,biden,biden,biden,biden,biden,biden,biden,biden,harris,harris,harris,harris,harris,harris,harris,harris,harris,harris,harris,harris,harris,harris,harris,harris,pence,pence,pence,pence,pence,pence,pence,pence,pence,pence,pence,pence,pence,pence,pence,pence,trump,trump,trump,trump,trump,trump,trump,trump,trump,trump,trump,trump,trump,trump,trump,trump
attack,21.0,4,21.0,4,21.0,4,21.0,4,21.0,4,21.0,4,21.0,4,21.0,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,17.0,1,17.0,1,17.0,1,17.0,1,17.0,1,17.0,1,17.0,1,17.0,1,56.99999999999999,75,56.99999999999999,75,56.99999999999999,75,56.99999999999999,75,56.99999999999999,75,56.99999999999999,75,56.99999999999999,75,56.99999999999999,75
call to action,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
campaign event or info,11.0,2,11.0,2,11.0,2,11.0,2,11.0,2,11.0,2,11.0,2,11.0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,4.0,5,4.0,5,4.0,5,4.0,5,4.0,5,4.0,5,4.0,5,4.0,5
character traits,5.0,1,5.0,1,5.0,1,5.0,1,5.0,1,5.0,1,5.0,1,5.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2
covid,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0
endorsement,5.0,1,5.0,1,5.0,1,5.0,1,5.0,1,5.0,1,5.0,1,5.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,33.0,2,33.0,2,33.0,2,33.0,2,33.0,2,33.0,2,33.0,2,33.0,2,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2
horserace,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2.0,3,2.0,3,2.0,3,2.0,3,2.0,3,2.0,3,2.0,3,2.0,3
media,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,9.0,12,9.0,12,9.0,12,9.0,12,9.0,12,9.0,12,9.0,12,9.0,12
other,26.0,5,26.0,5,26.0,5,26.0,5,26.0,5,26.0,5,26.0,5,26.0,5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,33.0,2,33.0,2,33.0,2,33.0,2,33.0,2,33.0,2,33.0,2,33.0,2,9.0,12,9.0,12,9.0,12,9.0,12,9.0,12,9.0,12,9.0,12,9.0,12
policy issue,16.0,3,16.0,3,16.0,3,16.0,3,16.0,3,16.0,3,16.0,3,16.0,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,15.0,19,15.0,19,15.0,19,15.0,19,15.0,19,15.0,19,15.0,19,15.0,19
scandal,16.0,3,16.0,3,16.0,3,16.0,3,16.0,3,16.0,3,16.0,3,16.0,3,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,17.0,1,17.0,1,17.0,1,17.0,1,17.0,1,17.0,1,17.0,1,17.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1
cited,26.0,5,26.0,5,26.0,5,26.0,5,26.0,5,26.0,5,26.0,5,26.0,5,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,50.0,3,50.0,3,50.0,3,50.0,3,50.0,3,50.0,3,50.0,3,50.0,3,32.0,42,32.0,42,32.0,42,32.0,42,32.0,42,32.0,42,32.0,42,32.0,42
cited_linked,5.0,1,5.0,1,5.0,1,5.0,1,5.0,1,5.0,1,5.0,1,5.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,6.0,8,6.0,8,6.0,8,6.0,8,6.0,8,6.0,8,6.0,8,6.0,8
cited_paraphrased,11.0,2,11.0,2,11.0,2,11.0,2,11.0,2,11.0,2,11.0,2,11.0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,4.0,5,4.0,5,4.0,5,4.0,5,4.0,5,4.0,5,4.0,5,4.0,5
embedded,21.0,4,21.0,4,21.0,4,21.0,4,21.0,4,21.0,4,21.0,4,21.0,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,17.0,1,17.0,1,17.0,1,17.0,1,17.0,1,17.0,1,17.0,1,17.0,1,15.0,19,15.0,19,15.0,19,15.0,19,15.0,19,15.0,19,15.0,19,15.0,19
embedded_cited,32.0,6,32.0,6,32.0,6,32.0,6,32.0,6,32.0,6,32.0,6,32.0,6,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,33.0,2,33.0,2,33.0,2,33.0,2,33.0,2,33.0,2,33.0,2,33.0,2,28.000000000000004,37,28.000000000000004,37,28.000000000000004,37,28.000000000000004,37,28.000000000000004,37,28.000000000000004,37,28.000000000000004,37,28.000000000000004,37
embedded_paraphrased,5.0,1,5.0,1,5.0,1,5.0,1,5.0,1,5.0,1,5.0,1,5.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,4.0,5,4.0,5,4.0,5,4.0,5,4.0,5,4.0,5,4.0,5,4.0,5
linked,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1
paraphrased,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,9.0,12,9.0,12,9.0,12,9.0,12,9.0,12,9.0,12,9.0,12,9.0,12
paraphrased_linked,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2
conflict,42.0,8,42.0,8,42.0,8,42.0,8,42.0,8,42.0,8,42.0,8,42.0,8,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,33.0,2,33.0,2,33.0,2,33.0,2,33.0,2,33.0,2,33.0,2,33.0,2,79.0,103,79.0,103,79.0,103,79.0,103,79.0,103,79.0,103,79.0,103,79.0,103
economic,5.0,1,5.0,1,5.0,1,5.0,1,5.0,1,5.0,1,5.0,1,5.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1,1.0,1
human interest,37.0,7,37.0,7,37.0,7,37.0,7,37.0,7,37.0,7,37.0,7,37.0,7,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,67.0,4,67.0,4,67.0,4,67.0,4,67.0,4,67.0,4,67.0,4,67.0,4,12.0,16,12.0,16,12.0,16,12.0,16,12.0,16,12.0,16,12.0,16,12.0,16
morality,5.0,1,5.0,1,5.0,1,5.0,1,5.0,1,5.0,1,5.0,1,5.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,2.0,3,2.0,3,2.0,3,2.0,3,2.0,3,2.0,3,2.0,3,2.0,3
responsibility,11.0,2,11.0,2,11.0,2,11.0,2,11.0,2,11.0,2,11.0,2,11.0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,6.0,8,6.0,8,6.0,8,6.0,8,6.0,8,6.0,8,6.0,8,6.0,8
3.0,21.0,4,21.0,4,21.0,4,21.0,4,21.0,4,21.0,4,21.0,4,21.0,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,17.0,1,17.0,1,17.0,1,17.0,1,17.0,1,17.0,1,17.0,1,17.0,1,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2,2.0,2
negative,47.0,9,47.0,9,47.0,9,47.0,9,47.0,9,47.0,9,47.0,9,47.0,9,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,17.0,1,17.0,1,17.0,1,17.0,1,17.0,1,17.0,1,17.0,1,17.0,1,86.0,113,86.0,113,86.0,113,86.0,113,86.0,113,86.0,113,86.0,113,86.0,113
positive,32.0,6,32.0,6,32.0,6,32.0,6,32.0,6,32.0,6,32.0,6,32.0,6,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,67.0,4,67.0,4,67.0,4,67.0,4,67.0,4,67.0,4,67.0,4,67.0,4,12.0,16,12.0,16,12.0,16,12.0,16,12.0,16,12.0,16,12.0,16,12.0,16
illustration,47.0,9,47.0,9,47.0,9,47.0,9,47.0,9,47.0,9,47.0,9,47.0,9,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,67.0,4,67.0,4,67.0,4,67.0,4,67.0,4,67.0,4,67.0,4,67.0,4,43.0,56,43.0,56,43.0,56,43.0,56,43.0,56,43.0,56,43.0,56,43.0,56
non-primary source,42.0,8,42.0,8,42.0,8,42.0,8,42.0,8,42.0,8,42.0,8,42.0,8,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,33.0,2,33.0,2,33.0,2,33.0,2,33.0,2,33.0,2,33.0,2,33.0,2,18.0,24,18.0,24,18.0,24,18.0,24,18.0,24,18.0,24,18.0,24,18.0,24
trigger,11.0,2,11.0,2,11.0,2,11.0,2,11.0,2,11.0,2,11.0,2,11.0,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,39.0,51,39.0,51,39.0,51,39.0,51,39.0,51,39.0,51,39.0,51,39.0,51
amplifies the tweet,21.0,4,21.0,4,21.0,4,21.0,4,21.0,4,21.0,4,21.0,4,21.0,4,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,17.0,22,17.0,22,17.0,22,17.0,22,17.0,22,17.0,22,17.0,22,17.0,22
ctiticizes the tweet,5.0,1,5.0,1,5.0,1,5.0,1,5.0,1,5.0,1,5.0,1,5.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,50.0,65,50.0,65,50.0,65,50.0,65,50.0,65,50.0,65,50.0,65,50.0,65
neutral,74.0,14,74.0,14,74.0,14,74.0,14,74.0,14,74.0,14,74.0,14,74.0,14,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,100.0,6,100.0,6,100.0,6,100.0,6,100.0,6,100.0,6,100.0,6,100.0,6,34.0,44,34.0,44,34.0,44,34.0,44,34.0,44,34.0,44,34.0,44,34.0,44
