,Participant,Pphone,Date,VRTime,FPSTime,Birth,BA2,BA3,BA4,AIA1,AIA2,AIA3,Session,SameRm,SameVR,SameNot,SameR,SpaceInv1,SpaceInv2,SpaceInv3,SpaceInv4,SpaceInv5,TempInv1,MC1,TempInv2,TempInv3,TempInv4,DynImm1,DynImm2,DynImm3,DynImm4,DynImm5,RealImm1,RealImm2,RealImm3,RealImm4,CoPresence1,CoPresence2,CoPresence3,CoPresence4,Auto1,Auto2,Auto3,Comp1,MC2,Comp2,Comp3,WP1,WP2,UWP4,BI1,BI2,BI3,PV1,PV2,BP1,BP2,BP3,MC3,Dur,Point,Age,GroupH0A1,AIA,BA_Pre,SpaceInv,TempInv,DynImm,RealImm,CoPresence,Auto,Comp,Enjoyment,WP,BI,BP,BA_Post
0,1,5977.0,20220524.0,10.0,,2000.0,1.0,1.0,1.0,4.0,3.0,3.0,1.5,4.0,4.0,5.0,1.0,4.0,4.0,3.0,4.0,3.0,2.5,2.0,4.0,3.5,4.5,5.0,2.0,5.0,4.0,3.0,2.0,3.0,3.5,4.0,2.5,2.5,2.0,2.0,4.0,4.0,2.0,3.0,1.0,3.0,4.0,2.5,3.0,3.5,3.5,3.5,3.5,3.5,3.5,4.0,4.0,2.0,2.5,189.5,4.5,22.0,0.0,0.3333333333333335,-2.0,3.5999999999999996,3.625,3.8,3.125,2.25,3.3333333333333335,3.333333333333333,2.9000000000000004,3.0,3.5,3.3333333333333335,3.277777777777778
1,2,3518.0,20220524.0,,60.0,2002.0,5.0,2.0,1.0,5.0,2.0,1.0,1.5,4.5,4.0,2.0,1.0,5.0,3.5,4.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,3.0,4.0,4.5,4.5,2.0,3.5,4.0,4.0,5.0,3.5,3.5,2.5,4.0,5.0,5.0,5.0,3.0,3.0,4.0,5.0,2.5,3.5,2.0,4.5,4.0,3.0,3.5,3.5,5.0,5.0,3.5,2.5,176.0,4.5,20.0,1.0,-0.3333333333333335,-0.3333333333333335,4.5,5.0,3.6,4.125,3.375,5.0,4.0,4.05,2.666666666666667,3.833333333333333,4.5,3.6666666666666665
2,3,7245.0,20220524.0,,,1999.0,5.0,2.0,1.0,4.0,3.0,2.0,1.5,2.0,3.5,3.5,2.5,3.5,1.5,3.5,3.5,3.5,2.5,2.0,2.5,3.5,3.0,4.0,3.5,4.0,4.5,1.5,2.5,4.0,4.0,3.0,2.0,2.0,4.0,2.5,3.5,3.5,2.5,1.5,3.0,2.5,4.0,3.5,4.0,4.5,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,343.5,4.5,23.0,0.0,0.0,-0.3333333333333335,3.0999999999999996,2.875,3.5,3.375,2.625,3.166666666666667,2.666666666666667,2.8,4.0,3.3333333333333335,4.0,3.7777777777777777
3,4,,20220525.0,,200.0,1999.0,1.0,1.0,1.0,5.0,5.0,3.0,1.5,5.0,5.0,1.0,2.0,5.0,4.0,5.0,5.0,4.5,4.5,1.0,4.0,5.0,5.0,4.0,3.0,4.5,5.0,4.5,4.5,4.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,3.5,3.5,1.0,4.0,2.0,2.5,3.5,4.0,2.0,4.5,5.0,4.5,4.5,3.5,3.5,5.0,4.5,1.0,515.0,4.5,23.0,1.0,1.333333333333333,-2.0,4.7,4.625,4.2,4.375,5.0,3.333333333333333,1.8333333333333335,3.55,3.166666666666667,4.666666666666666,4.333333333333334,4.055555555555555
4,5,8704.0,20220526.0,,,1999.0,5.0,1.0,1.0,4.0,1.0,1.0,1.5,5.0,5.0,3.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,3.5,5.0,5.0,5.0,5.0,4.5,4.5,4.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.5,1.5,5.0,5.0,5.0,5.0,4.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,258.0,4.5,23.0,1.0,-1.0,-0.6666666666666665,5.0,5.0,4.7,4.625,5.0,5.0,4.833333333333334,4.95,4.833333333333334,5.0,5.0,4.944444444444445
5,6,9118.0,20220526.0,,,2001.0,5.0,4.0,2.0,4.0,2.0,1.0,1.5,2.5,4.0,5.0,1.0,5.0,2.0,1.5,3.0,2.0,2.0,3.0,3.5,3.0,5.0,4.5,1.5,5.0,5.0,1.0,2.5,4.5,3.5,4.0,2.5,3.5,1.5,4.0,2.0,1.5,1.0,3.5,1.0,3.0,2.5,4.5,4.5,5.0,4.5,5.0,5.0,1.5,5.0,4.5,5.0,3.0,1.0,213.5,4.5,21.0,1.0,-0.6666666666666665,0.6666666666666665,2.7,3.375,3.4000000000000004,3.625,2.875,1.5,3.0,2.5,4.666666666666666,4.833333333333334,4.166666666666666,4.555555555555555
6,7,1652.0,20220526.0,,60.0,2000.0,1.0,1.0,1.0,3.0,2.0,2.0,1.5,3.0,3.0,3.0,2.5,3.5,4.0,4.0,4.0,2.5,4.0,1.0,3.5,4.5,4.5,1.0,2.5,2.0,3.0,4.5,3.0,3.0,3.0,3.5,2.0,2.5,3.5,2.5,3.0,2.0,1.5,1.0,1.0,1.0,3.0,3.0,3.0,3.0,2.0,1.5,3.0,2.5,2.0,3.0,3.0,2.5,1.0,315.0,4.5,22.0,1.0,-0.6666666666666665,-2.0,3.6,4.125,2.6,3.125,2.625,2.1666666666666665,1.6666666666666667,2.2,3.0,2.166666666666667,2.8333333333333335,2.666666666666667
7,8,5464.0,20220526.0,30.0,120.0,2002.0,5.0,3.0,3.0,5.0,5.0,3.0,1.5,4.5,4.5,3.0,2.5,4.5,4.5,5.0,5.0,5.0,4.5,2.5,4.5,4.5,4.0,5.0,5.0,5.0,5.0,4.5,4.0,4.5,5.0,5.0,4.0,4.5,4.0,4.5,5.0,5.0,4.5,2.5,4.0,3.5,5.0,4.0,4.0,3.5,4.0,5.0,4.5,4.0,4.0,5.0,5.0,4.5,3.0,212.0,4.5,20.0,0.0,1.333333333333333,0.6666666666666665,4.8,4.375,4.9,4.625,4.25,4.833333333333334,3.666666666666667,4.25,3.833333333333333,4.5,4.833333333333334,4.388888888888889
8,9,5185.0,20220526.0,,,2001.0,1.0,1.0,1.0,4.0,3.0,3.0,1.5,3.5,4.0,3.0,2.0,4.0,2.0,2.5,2.5,3.5,4.0,2.5,3.5,4.0,4.0,4.0,2.5,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.5,3.0,3.0,4.0,4.0,3.0,1.0,4.0,1.0,2.0,2.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,301.0,4.5,21.0,0.0,0.3333333333333335,-2.0,2.9000000000000004,3.875,3.3,3.25,3.125,3.6666666666666665,1.3333333333333333,2.75,2.6666666666666665,4.0,3.3333333333333335,3.3333333333333335
9,10,51.0,20220527.0,,,1998.0,5.0,2.0,2.0,4.0,3.0,2.0,1.5,3.5,3.5,4.5,1.5,4.0,2.0,2.5,4.0,4.0,4.5,2.0,4.0,4.5,4.5,3.5,2.0,2.5,4.0,2.0,3.0,2.5,3.0,4.0,3.5,3.5,2.5,2.5,2.5,3.0,2.5,2.5,2.0,3.0,4.0,3.0,3.0,4.0,2.0,3.5,3.0,1.5,1.5,4.5,3.0,3.0,2.0,207.0,4.5,24.0,0.0,0.0,0.0,3.3,4.375,2.8,3.125,3.0,2.6666666666666665,3.1666666666666665,2.95,3.333333333333333,2.8333333333333335,3.5,3.2222222222222223
10,11,7380.0,20220527.0,,,2001.0,5.0,3.0,4.0,4.0,2.0,1.0,1.5,4.0,4.0,5.0,1.0,4.0,3.0,3.0,4.0,4.0,5.0,2.0,4.0,4.0,4.5,5.0,4.5,5.0,5.0,3.0,4.5,4.0,4.0,4.0,4.0,3.5,3.5,3.5,4.0,4.0,3.5,4.0,1.5,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,1.5,306.5,4.5,21.0,1.0,-0.6666666666666665,1.0,3.6,4.375,4.5,4.125,3.625,3.833333333333333,4.0,3.8,4.333333333333333,4.0,3.666666666666667,4.0
11,12,2997.0,20220527.0,,300.0,2001.0,5.0,2.0,1.0,5.0,3.0,1.0,1.5,3.5,4.5,4.5,1.5,5.0,3.0,4.0,4.5,4.5,4.5,2.5,4.0,5.0,5.0,3.5,4.0,3.5,2.5,1.5,4.0,1.5,3.5,4.0,4.0,4.0,3.0,2.5,3.0,2.5,2.5,2.5,3.0,3.0,4.0,3.5,3.5,3.0,5.0,4.5,4.5,4.5,4.5,4.5,5.0,4.0,3.5,187.0,4.5,21.0,0.0,0.0,-0.3333333333333335,4.2,4.625,3.0,3.25,3.375,2.666666666666667,3.1666666666666665,3.1,3.333333333333333,4.666666666666666,4.5,4.166666666666666
12,13,9329.0,20220527.0,,,2002.0,5.0,2.0,3.0,4.0,3.0,3.0,1.5,4.0,5.0,3.5,2.0,4.5,5.0,5.0,5.0,5.0,4.0,3.0,4.0,4.0,4.5,4.0,5.0,5.0,5.0,4.5,4.5,3.5,4.5,4.5,5.0,5.0,5.0,5.0,4.0,5.0,3.5,1.5,3.5,1.5,4.5,3.5,3.0,3.0,4.0,4.0,4.0,3.0,3.0,5.0,5.0,4.0,2.0,322.5,4.5,20.0,0.0,0.3333333333333335,0.3333333333333335,4.9,4.125,4.699999999999999,4.25,5.0,4.166666666666666,2.5,4.0,3.166666666666667,4.0,4.666666666666667,3.9444444444444446
13,14,5376.0,20220530.0,15.0,360.0,2000.0,1.0,1.0,1.0,4.0,3.0,2.0,1.5,4.0,4.0,3.5,2.5,4.5,4.0,4.0,4.0,4.5,4.5,2.0,4.5,5.0,4.0,3.0,3.5,3.0,2.5,2.5,3.5,3.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.5,2.0,3.5,4.0,3.5,3.5,3.5,3.5,3.0,3.0,3.0,3.0,3.0,3.5,3.0,2.0,214.5,4.5,22.0,1.0,0.0,-2.0,4.2,4.5,2.9000000000000004,3.75,4.0,3.6666666666666665,3.666666666666667,3.8,3.5,3.166666666666667,3.166666666666667,3.2777777777777777
14,15,428.0,20220530.0,,,2002.0,5.0,3.0,2.0,3.0,1.0,1.0,1.5,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.5,2.5,3.5,1.5,3.5,4.5,4.5,5.0,3.0,5.0,5.0,4.0,3.0,3.0,3.0,3.0,2.0,2.5,3.5,2.5,3.0,2.5,2.0,2.0,2.5,2.0,2.5,2.0,2.0,2.0,2.5,3.0,3.0,3.0,3.0,4.0,3.0,5.0,1.0,241.5,4.5,20.0,1.0,-1.3333333333333333,0.3333333333333335,3.0,4.0,4.4,3.0,2.625,2.5,2.166666666666667,2.45,2.0,2.833333333333333,4.0,2.9444444444444446
15,16,6671.0,20220530.0,,,2001.0,5.0,2.0,4.0,3.0,3.0,1.0,1.5,5.0,5.0,4.5,1.5,5.0,5.0,5.0,5.0,5.0,5.0,1.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,1.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,1.5,2.0,3.0,5.0,3.0,4.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,241.0,4.5,21.0,1.0,-0.6666666666666665,0.6666666666666665,5.0,5.0,5.0,4.125,5.0,5.0,2.3333333333333335,4.2,4.166666666666667,5.0,5.0,4.722222222222222
16,17,6227.0,20220530.0,,,1993.0,1.0,1.0,1.0,3.0,4.0,1.0,1.5,2.5,2.5,3.0,2.5,3.0,3.0,3.0,3.5,3.0,5.0,3.5,4.0,5.0,5.0,3.5,3.0,3.0,4.0,2.5,2.0,4.0,3.5,3.0,2.5,3.0,3.0,2.0,3.0,2.5,1.5,3.5,4.0,3.0,4.0,2.0,2.0,2.0,2.5,2.5,3.0,3.0,2.5,3.0,3.0,2.0,3.5,182.5,4.5,29.0,1.0,-0.3333333333333335,-2.0,3.1,4.75,3.2,3.125,2.625,2.333333333333333,3.5,2.8,2.0,2.666666666666667,2.6666666666666665,2.4444444444444446
17,18,539.0,20220531.0,60.0,20.0,2001.0,5.0,2.0,1.0,3.0,3.0,2.0,1.5,3.5,3.5,3.0,1.0,4.0,3.5,4.0,4.5,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,3.5,1.5,5.0,5.0,3.0,4.0,4.0,4.5,2.5,4.5,2.5,5.0,5.0,5.0,5.0,2.5,2.5,3.5,5.0,4.0,5.0,3.5,4.0,4.5,3.5,4.5,5.0,210.5,4.5,21.0,0.0,-0.3333333333333335,-0.3333333333333335,4.0,4.75,4.4,3.75,3.875,3.166666666666667,5.0,4.0,2.833333333333333,4.666666666666666,4.166666666666666,3.8888888888888884
18,19,3411.0,20220531.0,,,2000.0,1.0,1.0,1.0,3.0,2.0,2.0,1.5,4.5,4.5,3.5,2.0,4.0,4.0,4.5,4.5,4.5,5.0,2.5,5.0,5.0,5.0,5.0,5.0,4.5,4.0,3.5,4.0,3.5,4.5,4.0,4.5,4.5,4.5,5.0,5.0,5.0,5.0,4.0,3.5,3.5,4.5,3.0,3.0,3.0,4.0,4.5,4.0,3.0,3.0,4.0,4.5,3.5,1.5,263.5,4.5,22.0,0.0,-0.6666666666666665,-2.0,4.3,5.0,4.4,4.0,4.625,5.0,4.0,4.550000000000001,3.0,4.166666666666667,4.0,3.7222222222222223
19,20,4025.0,20220531.0,40.0,,2002.0,4.0,1.0,4.0,5.0,3.0,4.0,1.5,5.0,5.0,4.5,1.5,4.5,4.5,4.5,4.5,3.0,5.0,2.0,5.0,5.0,5.0,4.5,5.0,4.5,4.0,4.5,4.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.0,3.0,3.5,5.0,4.0,2.0,2.0,5.0,3.5,2.0,2.0,4.0,4.5,5.0,5.0,3.0,236.5,4.0,20.0,0.0,1.0,0.0,4.2,5.0,4.5,4.875,5.0,4.666666666666667,3.8333333333333335,4.55,2.6666666666666665,3.5,4.833333333333334,3.6666666666666665
20,21,5786.0,20220531.0,,300.0,2002.0,5.0,5.0,2.0,3.0,1.0,1.0,1.5,4.5,4.5,5.0,1.5,5.0,5.0,5.0,5.0,4.5,5.0,1.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,3.5,4.5,4.5,4.0,4.5,4.5,4.5,3.5,5.0,5.0,3.5,3.0,2.5,3.5,5.0,5.0,5.0,5.0,3.5,4.0,5.0,3.0,3.0,4.0,4.0,3.5,1.0,221.0,4.5,20.0,0.0,-1.3333333333333333,1.0,4.9,5.0,4.8,4.125,4.25,4.5,3.833333333333333,4.2,5.0,4.166666666666666,3.833333333333333,4.333333333333333
21,22,605.0,20220531.0,,,2001.0,5.0,2.0,2.0,1.0,1.0,1.0,1.5,3.5,4.0,4.5,2.0,4.0,3.0,3.0,2.5,3.0,4.5,2.5,4.0,5.0,4.5,3.5,3.0,3.0,1.5,2.0,2.0,2.5,3.5,3.5,4.0,4.0,3.0,4.0,4.5,4.0,3.0,1.5,2.5,1.5,2.5,1.5,2.0,2.0,3.0,4.0,3.5,3.0,3.0,4.0,4.0,4.0,3.0,262.0,4.5,21.0,1.0,-2.0,0.0,3.0999999999999996,4.5,2.6,2.875,3.75,3.833333333333333,1.8333333333333335,3.2,1.8333333333333335,3.5,4.0,3.1111111111111116
22,23,3218.0,20220531.0,30.0,25.0,1999.0,4.0,3.0,2.0,4.0,2.0,2.0,1.5,2.5,2.0,3.0,1.0,5.0,3.0,2.0,3.0,2.5,4.0,2.0,2.5,4.0,4.5,4.5,3.5,4.0,1.5,2.5,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.5,3.0,2.5,1.0,1.0,2.0,1.5,1.5,4.0,4.0,4.0,3.5,3.0,4.0,3.0,3.5,4.0,4.0,2.0,1.0,322.0,4.5,23.0,1.0,-0.3333333333333335,0.0,3.1,3.75,3.2,2.25,2.375,2.166666666666667,1.3333333333333335,2.0,4.0,3.5,3.3333333333333335,3.611111111111111
23,24,1585.0,20220531.0,20.0,,2001.0,5.0,2.0,1.0,3.0,3.0,2.0,1.5,3.5,4.5,3.5,3.5,4.5,5.0,5.0,4.5,4.0,5.0,1.5,4.5,4.5,4.0,2.5,4.5,3.0,4.0,2.5,4.5,5.0,4.5,4.0,4.5,4.0,3.5,3.5,5.0,5.0,4.0,4.5,4.0,5.0,5.0,4.0,4.0,4.0,4.0,3.5,4.5,3.0,4.0,3.5,4.0,4.0,3.5,199.0,4.0,21.0,1.0,-0.3333333333333335,-0.3333333333333335,4.6,4.5,3.3,4.5,3.875,4.666666666666667,4.833333333333334,4.4,4.0,4.0,3.833333333333333,3.9444444444444438
24,25,4101.0,20220602.0,,360.0,2003.0,1.0,1.0,1.0,5.0,4.0,4.0,1.5,4.5,5.0,1.0,2.0,4.5,3.5,3.5,4.5,3.5,4.5,1.5,3.5,3.5,3.5,3.5,3.5,4.0,2.0,2.0,2.5,3.5,4.0,4.5,3.5,3.0,3.5,3.0,4.5,5.0,2.5,3.0,1.5,3.5,4.5,4.0,3.5,3.0,2.5,2.0,3.5,4.0,3.5,3.5,4.0,5.0,1.0,182.5,4.5,19.0,0.0,1.333333333333333,-2.0,3.9,3.75,3.0,3.625,3.25,4.0,3.666666666666667,3.5999999999999996,3.5,2.6666666666666665,4.166666666666666,3.444444444444444
25,26,,20220602.0,60.0,,2000.0,5.0,2.0,2.0,4.0,2.0,2.0,1.5,2.5,4.0,3.5,1.5,3.0,3.5,3.0,3.0,3.5,4.5,3.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,3.0,3.5,3.0,3.0,3.5,2.5,3.0,2.0,2.0,4.0,5.0,4.5,2.0,4.0,2.0,3.5,3.5,3.5,4.0,3.0,3.0,3.5,2.5,2.5,4.0,4.0,3.0,3.0,281.0,4.5,22.0,0.0,-0.3333333333333335,0.0,3.2,4.875,4.2,3.25,2.375,4.5,2.5,3.05,3.666666666666667,3.166666666666667,3.6666666666666665,3.5
26,27,4495.0,20220602.0,,,1994.0,1.0,1.0,1.0,3.0,5.0,2.0,1.5,1.5,1.5,4.5,2.0,4.0,2.0,1.5,4.5,5.0,3.5,1.0,4.5,4.5,5.0,2.0,2.0,3.0,1.5,1.5,4.0,5.0,5.0,4.0,1.0,1.5,1.0,1.0,4.5,4.0,1.5,3.5,1.0,3.0,4.0,1.5,1.5,2.0,3.0,1.5,2.5,2.0,2.5,4.0,5.0,2.0,1.0,243.5,4.5,28.0,0.0,0.3333333333333335,-2.0,3.4,4.375,2.0,4.5,1.125,3.333333333333333,3.5,2.5,1.6666666666666665,2.3333333333333335,3.6666666666666665,2.5555555555555554
27,28,4461.0,20220602.0,,,1998.0,5.0,2.0,2.0,4.0,1.0,1.0,1.5,3.5,3.5,3.5,2.0,4.0,4.0,4.0,4.5,4.0,4.5,2.5,4.5,5.0,5.0,4.0,3.5,4.0,3.5,2.0,3.5,3.5,4.0,4.0,3.5,3.5,3.0,3.5,3.5,4.0,2.5,3.0,2.5,3.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.5,4.5,4.0,3.5,2.5,199.5,4.5,24.0,1.0,-1.0,0.0,4.1,4.75,3.4,3.75,3.375,3.3333333333333335,3.5,3.4000000000000004,4.0,4.0,4.0,4.0
28,29,3149.0,20220602.0,,240.0,2001.0,1.0,1.0,1.0,3.0,1.0,1.0,1.5,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,5.0,1.0,5.0,5.0,5.0,5.0,5.0,3.5,1.5,1.5,5.0,4.0,4.5,5.0,5.0,5.0,4.5,4.5,3.5,3.5,2.0,4.5,2.0,3.0,3.0,5.0,5.0,5.0,4.0,4.5,4.5,3.0,3.0,4.0,4.0,3.0,1.0,245.5,4.5,21.0,1.0,-1.3333333333333333,-2.0,5.0,5.0,3.3,4.625,4.75,3.0,3.5,3.8499999999999996,5.0,4.333333333333333,3.6666666666666665,4.333333333333333
29,30,981.0,20220602.0,,60.0,2002.0,5.0,3.0,2.0,4.0,4.0,4.0,1.5,4.5,5.0,2.5,1.0,5.0,5.0,4.5,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,4.0,4.5,4.0,4.5,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.5,5.0,5.0,4.5,5.0,5.0,5.0,5.0,5.0,5.0,4.5,3.5,221.0,4.5,20.0,0.0,1.0,0.3333333333333335,4.9,5.0,4.6,5.0,4.25,5.0,4.333333333333333,4.5,4.833333333333334,4.833333333333334,4.833333333333334,4.833333333333334
30,31,8824.0,20220603.0,,,1997.0,4.0,2.0,2.0,4.0,1.0,2.0,1.5,5.0,4.5,1.5,2.0,4.5,4.0,4.0,4.5,4.0,4.0,1.0,4.0,4.5,4.5,5.0,5.0,5.0,4.5,3.5,2.5,3.0,3.0,5.0,5.0,4.5,4.0,5.0,4.0,4.0,4.0,4.5,2.5,5.0,4.0,3.5,3.0,2.0,2.5,2.0,3.0,3.0,3.0,4.5,4.0,3.0,1.5,262.0,4.5,25.0,1.0,-0.6666666666666665,-0.3333333333333335,4.2,4.25,4.6,3.375,4.625,4.0,4.5,4.4,2.833333333333333,2.5,3.833333333333333,3.0555555555555554
31,32,1697.0,20220603.0,,,2000.0,1.0,1.0,1.0,4.0,3.0,2.0,1.5,3.0,4.0,3.5,2.0,3.0,3.0,3.5,3.0,3.5,4.0,3.0,4.0,4.0,4.0,3.5,4.0,3.5,3.5,3.0,2.0,2.0,2.5,3.5,3.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,2.5,2.5,3.5,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,1.5,271.5,4.5,22.0,0.0,0.0,-2.0,3.2,4.0,3.5,2.5,3.0,3.6666666666666665,3.0,3.2,4.0,4.0,4.0,4.0
32,33,4399.0,20220603.0,,180.0,1998.0,1.0,1.0,1.0,4.0,3.0,3.0,1.5,4.5,5.0,3.0,3.5,5.0,5.0,5.0,4.5,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,4.5,5.0,5.0,5.0,4.5,4.5,5.0,4.5,4.5,4.5,5.0,5.0,5.0,5.0,3.5,4.5,3.5,4.0,5.0,5.0,4.5,4.5,4.5,4.5,5.0,5.0,5.0,5.0,5.0,4.5,260.5,4.5,24.0,0.0,0.3333333333333335,-2.0,4.9,5.0,4.9,4.75,4.625,5.0,3.666666666666667,4.449999999999999,4.833333333333334,4.5,5.0,4.777777777777779
33,34,4158.0,20220603.0,,180.0,1998.0,5.0,2.0,2.0,4.0,3.0,3.0,1.5,4.5,4.5,3.5,1.5,4.0,4.0,4.0,4.0,4.5,5.0,1.0,5.0,5.0,5.0,3.5,5.0,4.5,3.5,2.5,3.5,3.5,3.5,4.5,4.0,4.0,4.0,4.0,3.0,4.0,3.0,5.0,1.0,5.0,5.0,4.0,4.0,5.0,3.5,3.0,4.0,2.5,3.0,5.0,5.0,3.0,1.0,241.5,4.5,24.0,1.0,0.3333333333333335,0.0,4.1,5.0,3.8,3.75,4.0,3.333333333333333,5.0,4.1,4.333333333333333,3.5,4.333333333333333,4.055555555555555
34,35,9202.0,20220607.0,,,2002.0,1.0,1.0,1.0,4.0,1.0,1.0,1.5,4.0,4.0,4.0,2.0,4.0,3.0,3.5,4.5,3.5,5.0,2.5,5.0,5.0,5.0,5.0,4.0,5.0,5.0,2.0,3.0,4.0,4.0,3.5,3.0,4.0,4.5,3.5,4.5,3.5,4.0,4.0,4.0,4.5,4.5,2.5,2.5,2.5,3.5,3.5,4.0,3.5,3.5,4.0,4.5,2.5,3.0,134.0,4.5,20.0,1.0,-1.0,-2.0,3.7,5.0,4.2,3.625,3.75,4.0,4.333333333333333,4.0,2.5,3.6666666666666665,3.666666666666667,3.2777777777777777
35,36,2305.0,20220607.0,75.0,45.0,2003.0,2.0,1.0,1.0,4.0,4.0,4.0,1.5,4.5,4.5,4.0,1.0,5.0,5.0,5.0,5.0,4.5,5.0,1.0,4.5,5.0,5.0,4.0,4.0,5.0,3.5,3.5,5.0,4.0,5.0,5.0,4.0,5.0,3.5,5.0,5.0,5.0,4.0,3.5,3.5,4.0,4.5,5.0,5.0,5.0,2.5,5.0,5.0,4.5,4.0,5.0,5.0,4.0,3.0,307.5,4.5,19.0,0.0,1.0,-1.6666666666666667,4.9,4.875,4.0,4.75,4.375,4.666666666666666,4.0,4.35,5.0,4.166666666666666,4.666666666666667,4.611111111111112
36,37,6527.0,20220607.0,,,2002.0,5.0,1.0,1.0,4.0,3.0,3.0,1.5,2.5,3.5,4.0,1.5,4.5,4.0,2.5,5.0,4.0,4.5,2.5,5.0,4.5,5.0,2.5,3.0,3.5,5.0,3.0,4.0,3.5,3.5,4.5,2.5,5.0,2.5,4.0,4.5,3.5,2.5,1.0,3.5,1.0,2.5,3.5,4.0,5.0,3.5,4.0,4.5,3.5,4.0,4.5,4.0,1.0,2.0,328.0,4.5,20.0,0.0,0.3333333333333335,-0.6666666666666665,4.0,4.75,3.4,3.875,3.5,3.5,1.5,2.9,4.166666666666666,4.0,3.166666666666667,3.7777777777777777
37,38,7113.0,20220607.0,,,2002.0,5.0,3.0,4.0,4.0,4.0,4.0,1.5,4.0,5.0,2.0,3.0,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0,5.0,5.0,5.0,4.5,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,3.5,3.0,3.0,4.0,4.0,3.5,3.0,3.0,3.0,4.0,4.0,3.5,3.5,4.5,4.5,4.5,4.0,4.5,5.0,3.5,2.5,1.5,243.5,4.5,20.0,1.0,1.0,1.0,5.0,5.0,4.9,5.0,3.375,3.833333333333333,3.3333333333333335,3.5,3.666666666666667,4.5,3.666666666666667,3.9444444444444446
38,39,7729.0,20220607.0,,,2001.0,5.0,5.0,3.0,4.0,4.0,4.0,1.5,3.0,3.5,3.5,2.5,4.0,3.0,3.0,4.0,4.5,4.5,1.0,4.0,4.0,4.5,4.5,4.0,4.5,4.5,4.5,4.0,4.0,4.0,4.0,3.0,3.0,3.5,3.5,4.0,4.0,4.5,3.0,2.5,4.0,3.0,4.5,4.5,2.5,4.5,5.0,5.0,3.0,5.0,5.0,5.0,5.0,1.0,266.0,4.5,21.0,0.0,1.0,1.333333333333333,3.7,4.25,4.4,4.0,3.25,4.166666666666666,3.333333333333333,3.55,3.833333333333333,4.833333333333334,5.0,4.555555555555555
39,40,799.0,20220607.0,10.0,,2000.0,5.0,2.0,3.0,3.0,2.0,2.0,1.5,3.0,4.0,3.5,2.5,4.0,4.0,4.0,3.5,3.5,4.0,2.0,4.0,4.0,4.0,4.5,5.0,5.0,5.0,4.5,4.0,3.0,3.0,3.5,3.0,4.0,4.0,4.0,4.0,3.5,2.5,1.5,3.0,2.0,3.0,3.5,3.5,3.5,4.0,3.0,4.0,3.0,3.5,4.0,4.0,3.0,2.0,454.0,4.5,22.0,1.0,-0.6666666666666665,0.3333333333333335,3.8,4.0,4.8,3.375,3.75,3.3333333333333335,2.166666666666667,3.1500000000000004,3.5,3.6666666666666665,3.6666666666666665,3.6111111111111107
