Case,Platform,Publisher,VideoURL,PubDate,Likes,Comments,Saves,Shots,Graphics,EditsStyle,Broll,NatSound,Audio,Music,Narration,Humor,Offensive,Sourcing,Fairness,Agenda,MediaIntegrity,Decorum,Language,Topic,Presentation,ExternalVidSource,MediaType,Animation,Filters,Decorum_Z,Language_Z
66.0,YouTube Shorts,CNN,Trump Jr. pivots blame in testimony ,11/1/23,12000,1600,,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,-9993.0,-9993.0,-9993.0,-9993.0,-9993.0,9999.0,9999.0,9999.0,Legacy,0,0,2499.5,2499.5
67.0,YouTube Shorts,CNN,Hall of fame coach Bob Knight dies at 83,11/1/23,1000,57,,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,-9993.0,-9993.0,-9993.0,-9993.0,-9993.0,9999.0,9999.0,9999.0,Legacy,0,0,2499.5,2499.5
68.0,YouTube Shorts,CNN,Rabbi confronts President Biden,11/2/23,2900,716,,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0,3.0,5.0,5.0,1.0,1.0,0.0,Legacy,1,1,0.0,0.0
69.0,YouTube Shorts,CNN,Explosions erupt over Gaza,11/2/23,3000,571,,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,2.0,2.0,3.0,,5.0,1.0,2.0,1.0,Legacy,1,1,24.5,0.0
70.0,YouTube Shorts,CNN,Tense exchanges shared during Eric Trump’s testimony - YouTube,11/2/23,18000,1800,,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,4.0,5.0,5.0,2.0,1.0,1.0,Legacy,1,1,0.0,0.0
71.0,Instagram Reels,CNN,"Injured Palestinians have begun arriving in Egypt, officials say…",11/1/23,8236,1846,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,5.0,1.0,5.0,5.0,5.0,1.0,1.0,0.0,Legacy,1,1,0.0,0.0
72.0,Instagram Reels,CNN,After a mother noticed one of her son’s eyes appeared to be black...,11/1/23,233774,2775,,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,-9993.0,-9993.0,-9993.0,-9993.0,-9993.0,9999.0,9999.0,9999.0,Legacy,0,0,2499.5,2499.5
73.0,Instagram Reels,CNN,An Israeli strike on Gaza’s densely populated Jabalya…,11/1/23,13501,5565,,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,-9993.0,-9993.0,-9993.0,-9993.0,-9993.0,9999.0,9999.0,9999.0,Legacy,0,0,2499.5,2499.5
74.0,Instagram Reels,CNN,CNN’s Salma Abdelaziz reports on Tuesday’s airstrike…,11/1/23,41548,8698,,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,-9993.0,-9993.0,-9993.0,-9993.0,-9993.0,9999.0,9999.0,9999.0,Legacy,0,0,2499.5,2499.5
75.0,Instagram Reels,CNN,A collision involving a truck with a trailer full of fireworks gave…,11/1/23,23289,261,,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,3.0,2.0,4.0,4.0,4.0,3.0,2.0,0.0,Legacy,1,1,0.25,0.25
76.0,Instagram Reels,CNN,CNN’s Elle Reeve visits US college campuses and speaks…,11/2/23,18076,3573,,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,5.0,2.0,5.0,4.0,4.0,1.0,2.0,0.0,Legacy,1,1,0.25,0.25
77.0,Instagram Reels,CNN,Miami-Dade Fire Rescue assisted the Broward County Sheriff’s office with report of a downed,11/2/23,9341,261,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,3.0,,3.0,3.0,3.0,1.0,Legacy,1,1,24.5,0.5
78.0,TikTok,CNN,Princess Leonor of Spain swore allegiance to the Spanish constitution…,11/1/23,29100,402,1676.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0,3.0,4.0,5.0,2.0,2.0,1.0,Legacy,1,1,0.25,0.0
79.0,TikTok,CNN,"CNN's Manu Raju asks Sen. Bob Menendez (D-NJ), who prosecutors…",11/1/23,3005,144,114.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,4.0,4.0,5.0,5.0,2.0,2.0,0.0,Legacy,0,0,0.0,0.0
80.0,TikTok,CNN,After the mother of a 5-month-old noticed one of his eyes appeared to be black…,11/1/23,15800,70,552.0,1.0,4.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,5.0,2.0,4.0,4.0,5.0,7.0,1.0,1.0,Legacy,0,0,0.25,0.0
81.0,TikTok,CNN,An Israeli strike on Gaza's densely populated Jabalya refugee camp left…,11/1/23,3310,1765,264.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,3.0,2.0,5.0,5.0,1.0,1.0,0.0,Legacy,1,1,0.0,0.0
82.0,TikTok,CNN,CNN's Salma Abdelaziz reports on Tuesday's airstrike…,11/1/23,10300,1993,962.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,2.0,1.0,3.0,3.0,3.0,4.0,5.0,1.0,2.0,1.0,Legacy,1,1,0.25,0.0
83.0,TikTok,CNN,"Donald Trump’s eldest son, Donald Trump Jr., testified that he was not involved …",11/1/23,3801,319,112.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3.0,2.0,3.0,4.0,5.0,2.0,2.0,0.0,Legacy,1,1,0.25,0.0
84.0,TikTok,CNN,"Bobby Knight, who was one of college basketball’s winningest coaches",11/1/23,8075,82,571.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,4.0,4.0,4.0,,3.0,4.0,3.0,0.0,Legacy,1,1,24.5,0.5
85.0,YouTube Shorts,UnderTheDeskNews,Dysfunctional #uspolitics,11/15/23,51,0,,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,3.0,2.0,,2.0,2.0,5.0,0.0,SMonly,0,0,24.5,0.75
86.0,YouTube Shorts,UnderTheDeskNews,The Mary Magdalene of Politics?? #shorts #uspolitics #marymagdalene ,11/27/23,126,3,,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,2.0,5.0,0.0,SMonly,0,0,1.0,1.0
87.0,YouTube Shorts,UnderTheDeskNews,Weight Watchers Buys Telehealth company for easy access to semiglutides #weightloss,11/28/23,88,7,,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,4.0,2.0,3.0,2.0,4.0,6.0,4.0,0.0,SMonly,0,0,0.75,0.25
88.0,YouTube Shorts,UnderTheDeskNews,"See ya in hell, Henry 👋🏻 ",11/29/23,165,43,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,1.0,,2.0,5.0,0.0,SMonly,0,0,1.0,24.5
89.0,YouTube Shorts,UnderTheDeskNews,Byeee #henrykissinger #uspolitics,11/29/23,202,37,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,,2.0,5.0,0.0,SMonly,0,0,0.75,24.5
90.0,YouTube Shorts,UnderTheDeskNews,Bye Mary 👋🏻 #georgesantos #uspolitics,12/1/23,191,25,,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,4.0,2.0,4.0,1.0,3.0,2.0,4.0,0.0,SMonly,0,0,1.0,0.5
91.0,YouTube Shorts,UnderTheDeskNews,He sounds like Lola from @bigmouthnetflix no?? #georgesantos #bigmouth #uspolitics - YouTube,12/4/23,36,0,,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,4.0,1.0,1.0,1.0,2.0,5.0,0.0,SMonly,0,0,1.0,1.0
92.0,Instagram Reels,UnderTheDeskNews,#rochesterny local arrested for hate crime at #cornell #cornelluniversity #pittsfordny…,11/1/23,9455,266,,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,-9993.0,-9993.0,-9993.0,-9993.0,-9993.0,9999.0,9999.0,9999.0,SMonly,0,0,2499.5,2499.5
93.0,Instagram Reels,UnderTheDeskNews,Check out the episode on your podcast app! #bringchanelhome,11/1/23,741,7,,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,4.0,2.0,1.0,1.0,3.0,5.0,0.0,SMonly,0,0,1.0,1.0
94.0,Instagram Reels,UnderTheDeskNews,Is Mitch as scary as he once was or could Hawley stand up to him?...,11/1/23,18851,388,,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,-9993.0,-9993.0,-9993.0,-9993.0,-9993.0,9999.0,9999.0,9999.0,SMonly,0,0,2499.5,2499.5
95.0,Instagram Reels,UnderTheDeskNews,Mike Johnson ALSO thinks… a lot… a lot a lot….,11/2/23,5953,190,,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,-9993.0,-9993.0,-9993.0,-9993.0,-9993.0,9999.0,9999.0,9999.0,SMonly,0,0,2499.5,2499.5
96.0,Instagram Reels,UnderTheDeskNews,Are we.. are we on the same page today Senator Graham?...,11/2/23,5080,174,,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,-9993.0,-9993.0,-9993.0,-9993.0,-9993.0,9999.0,9999.0,9999.0,SMonly,0,0,2499.5,2499.5
97.0,Instagram Reels,UnderTheDeskNews,#rewilding #goodnews #goodnewsonly #golf #nepal #museum…,11/2/23,8320,78,,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,-9993.0,-9993.0,-9993.0,-9993.0,-9993.0,9999.0,9999.0,9999.0,SMonly,0,0,2499.5,2499.5
98.0,Instagram Reels,UnderTheDeskNews,"Stitch with @soso_swag - Pennsylvania! Vote on or before THIS November 7, 2023 your local elections are going to have a major impact on… | Instagram",11/5/23,5855,120,,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,4.0,5.0,4.0,1.0,1.0,2.0,5.0,0.0,SMonly,0,0,1.0,1.0
,TikTok,UnderTheDeskNews,Pittsford NY Student arrested on federal hate crime charges #rochesterny…,11/1/23,32400,829,379.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,1.0,3.0,3.0,3.0,2.0,4.0,1.0,4.0,0.0,SMonly,0,0,0.75,0.25
100.0,TikTok,UnderTheDeskNews,#citizensunited #elections #darkmoney #conservative #democrat…,11/1/23,114200,2831,2644.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,9999.0,1.0,1.0,4.0,4.0,4.0,1.0,2.0,2.0,4.0,0.0,SMonly,0,0,1.0,0.75
101.0,TikTok,UnderTheDeskNews,Mike Johnson ALSO thinks… a lot… a lot a lot.. maybe too much?...,11/2/23,19500,622,204.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,2.0,1.0,2.0,5.0,0.0,SMonly,0,0,0.75,1.0
102.0,TikTok,UnderTheDeskNews,Yesterday I hyped up Josh Hawley on his Ending Corporate Influence…,11/2/23,14900,580,237.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,5.0,5.0,2.0,1.0,1.0,SMonly,0,0,0.0,0.0
103.0,TikTok,UnderTheDeskNews,#stitch with @D U S T I N P A I S L E Y #rewilding #goodnews #goodnewsonly…,11/2/23,39100,429,560.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,4.0,2.0,4.0,2.0,3.0,4.0,4.0,0.0,SMonly,0,0,0.75,0.5
104.0,TikTok,UnderTheDeskNews,He’s trying to run down the clock on testimony. This is interesting…,11/6/23,147700,2793,2625.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,3.0,3.0,3.0,1.0,3.0,2.0,4.0,0.0,SMonly,0,0,1.0,0.5
105.0,TikTok,UnderTheDeskNews,Wild. Times. #trumptrial #newyork TikToks Legal Eagles: @Legal Dad @Maclen & Ashleigh,11/6/23,110000,2163,1651.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,4.0,3.0,4.0,1.0,3.0,2.0,4.0,0.0,SMonly,0,0,1.0,0.5
106.0,YouTube Shorts,GoodMorning BadNews,Missing Submarine Found! | GMBN - YouTube,6/22/23,238,7,,1.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,5.0,3.0,,3.0,3.0,5.0,0.0,SMonly,0,0,24.5,0.5
107.0,YouTube Shorts,GoodMorning BadNews,Supreme Court kills Biden’s student loan forgiveness | GMBN (youtube.com),6/30/23,108,0,,1.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,1.0,2.0,5.0,0.0,SMonly,0,0,0.75,1.0
108.0,YouTube Shorts,GoodMorning BadNews,Why Are Netflix Shows So Awful? | GMBN (youtube.com),7/14/23,472,1,,1.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,,1.0,4.0,4.0,0.0,SMonly,0,0,24.5,1.0
109.0,YouTube Shorts,GoodMorning BadNews,| GMBN (youtube.com),7/21/23,159,0,,1.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,4.0,,2.0,6.0,4.0,0.0,SMonly,0,0,24.5,0.75
110.0,YouTube Shorts,GoodMorning BadNews,Trump Faces 641 Years in Prison | GMBN (youtube.com),8/4/23,168,0,,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,5.0,3.0,,3.0,2.0,4.0,0.0,SMonly,1,1,24.5,0.5
111.0,YouTube Shorts,GoodMorning BadNews,"AirBnb is Crashing, You Can Finally Buy a House! | GMBN (youtube.com)",8/9/23,170,0,,1.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,4.0,2.0,2.0,6.0,4.0,0.0,SMonly,0,0,0.75,0.75
112.0,YouTube Shorts,GoodMorning BadNews,The Republican Debate Was a Mess | GMBN (youtube.com),8/24/23,262,0,,1.0,3.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,5.0,2.0,2.0,1.0,2.0,4.0,1.0,SMonly,0,0,0.75,1.0
113.0,Instagram Reels,GoodMorning BadNews,"Would the US ever reinstate the draft,",10/10/23,3747,109,,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,-9993.0,-9993.0,-9993.0,-9993.0,-9993.0,9999.0,9999.0,9999.0,SMonly,0,0,2499.5,2499.5
114.0,Instagram Reels,GoodMorning BadNews,An international tribunal of legal experts found the US,10/25/23,5096,72,,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,-9993.0,-9993.0,-9993.0,-9993.0,-9993.0,9999.0,9999.0,9999.0,SMonly,0,0,2499.5,2499.5
115.0,Instagram Reels,GoodMorning BadNews,"After weeks of infighting, there is finally a new Speaker of the Houser: Mike Johnson,",11/2/23,6612,269,,1.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,5.0,2.0,1.0,1.0,2.0,5.0,0.0,SMonly,0,0,1.0,1.0
116.0,Instagram Reels,GoodMorning BadNews,Our bloated military is a malignancy on the United States,11/10/23,12355,331,,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,-9993.0,-9993.0,-9993.0,-9993.0,-9993.0,9999.0,9999.0,9999.0,SMonly,0,0,2499.5,2499.5
117.0,Instagram Reels,GoodMorning BadNews,Going to college might be the worst investment you can make in your future. ,11/17/23,4078,84,,1.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,3.0,4.0,1.0,3.0,6.0,4.0,0.0,SMonly,0,0,1.0,0.5
118.0,Instagram Reels,GoodMorning BadNews,"As Of 2024, Millennials and Gen-Zers have less money ",1/1/24,11773,271,,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,-9993.0,-9993.0,-9993.0,-9993.0,-9993.0,9999.0,9999.0,9999.0,SMonly,0,0,2499.5,2499.5
119.0,Instagram Reels,GoodMorning BadNews,Israel has been officially charged with genocide against the Palestinian,1/13/24,4727,112,,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,9999.0,-9993.0,-9993.0,-9993.0,-9993.0,-9993.0,9999.0,9999.0,9999.0,SMonly,0,0,2499.5,2499.5
120.0,TikTok,GoodMorning BadNews,#goodmorningbadnews #goodmorninggoodnews #transatlantic #tennessee #involuntary #prison #jail #jimcrowlaws #jimcrow #incarceration #trump #biden #abrahamlincoln #13amendment #13thamendment,10/6/23,125700,1718,9491.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,4.0,4.0,3.0,2.0,1.0,2.0,5.0,0.0,SMonly,0,0,0.75,1.0
121.0,TikTok,GoodMorning BadNews,#goodmorningbadnews #ww3 #israel #palestine #libya #hamas #iran #ukraine #worldnews #conflict #draft #militarydraft #rotc #usarmy #usnavy #usmarines #usmc @danfromtheinternet,10/10/23,125700,3315,9627.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,2.0,3.0,3.0,1.0,2.0,4.0,0.0,SMonly,0,0,0.5,1.0
122.0,TikTok,GoodMorning BadNews,#goodmorningbadnews #initedstates #israel #palestine #international #icj #ww3 #hamas #russia #ukraine #guilty #justice #internationalcourtofjustice #hague #thehague #crimes,10/25/23,105700,1856,11400.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,3.0,4.0,3.0,,2.0,2.0,4.0,0.0,SMonly,0,0,24.5,0.75
123.0,TikTok,GoodMorning BadNews,#goodmorningbadnews #military #usmilitary #occupation #afghanistan #iraq #syria #vietnam #bush #georgebush #obama #biden #trump #israel #gaza #ukraine #russia,11/11/23,43400,1297,4033.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,5.0,1.0,2.0,1.0,2.0,5.0,0.0,SMonly,0,0,0.75,1.0
124.0,TikTok,GoodMorning BadNews,OUR FAVORITE KIND OF UPDATE! #henrykissinger #kissinger #kissingerisstillalive #vietnam #politics #nixon #republican #democrats #hillaryclinton #clinton #vietnamwar #cambodia #celebrities,11/30/23,103500,810,9535.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,4.0,5.0,3.0,2.0,1.0,2.0,5.0,0.0,SMonly,0,0,0.75,1.0
125.0,TikTok,GoodMorning BadNews,#goodmorningbadnews #money #pay #paycheck #pricegouging #profits #salary #stocks #wages #wealth #workers #hyperinflation #inflation #lobbying #economy #employees #bills #business #workingclass #millennials #babyboomers #poverty #genz #genz #generation #broke #poor #rent #bills,1/1/24,115500,1855,11800.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,4.0,3.0,2.0,2.0,6.0,4.0,0.0,SMonly,0,0,0.75,0.75
126.0,TikTok,GoodMorning BadNews,#goodmorningbadnews #israel #gaza #netanyahu #biden #icj,1/13/24,5441,127,494.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0,4.0,2.0,,3.0,1.0,4.0,0.0,SMonly,0,0,24.5,0.5
